Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C5, C6",0201,5,2.2uF,
"C10, C9",0201,2,15pF,
"C11, C4",0201,2,100nF,
"C12, C13, C14, C15, C16, C17, C18, C19, C22, C23, C24",0201,11,0.1uF,
"C20, C21",0201,2,1uF,
D1,D_SOD-523,1,D_Schottky,
D2,0603,1,RED_CHG,
D4,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,1,WS2812B,
D5,LED_SK6812_EC15_1.5x1.5mm,1,LED_RGBA,
F1,0402,1,6V_500mA,
J1,USB-C_SMD-TYPE-C-31-M-12_1,1,USB_C_Receptacle_USB2.0_16P,C165948
"J2, J3",PinHeader_1x07_P2.54mm_Vertical,2,Conn_01x07,
Q1,SOT-323_SC-70,1,Q_PMOS_DGS,
"R1, R2",0201,2,5.1k,
"R10, R14",0201,2,10K,
R12,0201,1,1K,
R13,0201,1,4.7K,
"R3, R7",0201,2,2.2K,
R4,0201,1,11K,
R5,0201,1,100k,
R6,0201,1,2.7k,
"R8, R9",0201,2,27R,
SW1,KEY-SMD_L3.0-W2.5-LS4.0_TD-1183SN,1,BOOT,C2905192
SW2,KEY-SMD_L3.0-W2.5-LS4.0_TD-1183SN,1,RESET,C2905192
TP1,TestPoint_Pad_D1.0mm,1,BAT,
"TP2, TP6",TestPoint_Pad_D1.0mm,2,GND,
TP3,TestPoint_Pad_D1.0mm,1,SWCLK,
TP4,TestPoint_Pad_D1.0mm,1,SWDI0,
TP5,TestPoint_Pad_D1.0mm,1,RUN,
U1,USON-8_L3.0-W2.0-P0.50-BL-EP-1,1,W25Q16JVSS,C2973793
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U3,SOT-23-5,1,TOREX XC6802A42XMR-G,
U4,XDFN-4_L1.0-W1.0-P0.65-BL-EP,1,RS3236-3.3YUTDN4,C379350
Y1,Crystal_SMD_1210-4Pin_1.2x1.0mm,1,12 MHz,
