Designator,Mid X,Mid Y,Rotation,Layer
C1,141.225,-106.425,0.0,top
C10,152.15,-102.5,90.0,top
C11,142.275,-109.125,180.0,top
C12,152.075,-106.825,270.0,top
C13,152.1,-110.425,270.0,top
C14,142.9,-106.15,90.0,top
C15,143.575,-112.0,270.0,top
C16,144.325,-112.325,270.0,top
C17,145.075,-112.325,270.0,top
C18,147.325,-112.325,270.0,top
C19,148.075,-112.32,270.0,top
C2,141.225,-107.375,0.0,top
C20,146.825,-103.0,180.0,top
C21,142.925,-103.75,180.0,top
C22,145.345,-102.975,0.0,top
C23,148.75,-112.325,270.0,top
C24,150.125,-113.025,180.0,top
C3,141.205,-108.425,180.0,top
C4,139.975,-111.95,270.0,top
C5,140.175,-101.275,90.0,top
C6,139.375,-101.275,90.0,top
C9,149.05,-102.62,270.0,top
D1,139.8,-106.85,90.0,top
D2,139.925,-96.75,90.0,top
D4,145.825,-114.475,0.0,top
D5,151.575,-98.05,0.0,top
F1,152.875,-96.225,180.0,top
J1,145.8,-98.4,180.0,top
J2,137.95,-105.402,0.0,bottom
J3,153.65,-105.402,0.0,bottom
Q1,140.0,-109.625,90.0,top
R1,145.975,-102.25,180.0,top
R10,140.75,-111.955,270.0,top
R12,147.925,-102.6,90.0,top
R13,151.4,-96.275,270.0,top
R14,151.575,-113.05,0.0,top
R2,144.275,-102.375,270.0,top
R3,151.275,-100.1,90.0,top
R4,152.05,-100.1,90.0,top
R5,139.225,-111.95,90.0,top
R6,143.525,-102.375,270.0,top
R7,139.4,-99.1,270.0,top
R8,146.55,-112.325,270.0,top
R9,145.825,-112.325,270.0,top
SW1,141.432,-114.7,0.0,top
SW2,150.168,-114.7,180.0,top
TP1,150.2,-114.675,0.0,bottom
TP2,141.475,-114.75,0.0,bottom
TP3,147.625,-98.25,0.0,bottom
TP4,144.725,-98.225,0.0,bottom
TP5,147.625,-96.1,0.0,bottom
TP6,144.75,-96.15,0.0,bottom
U1,142.2,-111.225,0.0,top
U2,147.499996,-107.488003,270.0,top
U3,141.05,-103.7375,180.0,top
U4,142.61,-107.95,0.0,top
Y1,150.775,-102.5,90.0,top
